X,Y,id,@id,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alcohol,alt_name,amenity,area,bar,building,building:levels,check_date,check_date:opening_hours,club,concert,contact:city,contact:email,contact:facebook,contact:housenumber,contact:instagram,contact:mastodon,contact:phone,contact:postcode,contact:ra,contact:street,contact:twitter,contact:website,description,email,entrance,facebook,image,level,lgbtq,lgbtq:men,live_music,min_age,music,musical_instrument:piano,name,name:fr,note,old_name,opening_hours,opening_hours:covid19,opening_hours:signed,operator,phone,restaurant,room,smoking,source,survey:date,toilets:wheelchair,website,wheelchair,wikidata,wikipedia,@geometry
2.3663122,48.8682496,node/1635047339,node/1635047339,,,,,,,,nightclub,,,,,2024/12/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Gibus,,,,,,,,,,,,,,,,yes,Q3223103,fr:Le Gibus,
2.3213512,48.842109,node/1803855315,node/1803855315,,,"24",,Rue de l'Arrivée,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,MixClub,,,,,,,,,,,,,,,https://www.mixclub.fr/,,,,
2.3977555,48.853261,node/1980835275,node/1980835275,,,"3","75020",Rue des Vignoles,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombonera à la Tanguedia,,,,Th 19:00-24:00,,,,,,,,,,,,,,,
2.2985992,48.8790135,node/1987539590,node/1987539590,Paris,,"69","75017",Avenue de Wagram,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAM Karaoke Box Etoile,,"10 karaoke rooms:
* 1 room 4 pers.,
* 4 rooms 6 pers.,
* 1 room 8 pers.,
* 1 room 10 pers.,
* room 12 pers.,
* room 18 pers.,
* room 22 pers.",,,,,,"+33184259533",,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,https://fr.bam-karaokebox.com/etablissement/etoile,,,,
2.3920347,48.8730337,node/1990799144,node/1990799144,,,,,,,,nightclub,,,,,,,,,Paris,,,"46",,,,"75020",,Rue des Rigoles,,,,,,,,,,,,,,,MilOnda 1905,,,,We 21:30-02:00,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,
2.3478378,48.8591148,node/2003145863,node/2003145863,Paris,,"14","75001",Rue Saint-Denis,,,nightclub,,,,,,,,,,,,,le_klub,,,,,,,,,,,,,,,,yes,,,,Le Klub,,,,,,,,+33 1 42 71 49 30,,,no,,,,http://www.leklub-paris.com,no,,,
2.3708171,48.8393841,node/2180116943,node/2180116943,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"911",,,,Fr-Sa 20:00-07:00,,,,,,,,,,,https://www.villagerusse.fr/911-paris,,,,
2.3844495,48.8931875,node/2501992034,node/2501992034,,,"16",,Rue Barbanègre,yes,,nightclub,,yes,,,,,yes,yes,,,,,,,,,,,,,,contact@espaceb.net,,,,,,,,,,,Espace B,,,,,,,,+33 1 40 37 30 29,yes,,,,,,https://espaceb.net,,,,
2.2948929,48.8783064,node/2733592143,node/2733592143,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secret Square,,,,,,,,,,,,,,,,no,,,
2.3721601,48.8540169,node/3058148641,node/3058148641,,,"9","75011",Rue de Lappe,,,nightclub,,,,,,,,,Paris,,,"9",,,,"75011",,Rue de Lappe,,,,balajoparis@gmail.com,,,,,,,,,,,Le Balajo,,,,,,,,+33 1 47 00 07 87,,,,,,,https://www.balajo.fr/,limited,Q16626681,,
2.3691284,48.8586675,node/3072964545,node/3072964545,Paris,,"50","75011",Rue Saint-Sabin,,,nightclub,,,,,2024/04/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Caves,,,,,,,,,,,isolated,,,,https://www.lescavessaintsabin.fr/,,,,
2.3757106,48.8535911,node/3079788462,node/3079788462,,,,,,,,nightclub,,,,,,2023/03/26,,,Paris,contact@badaboum.paris,,2 bis,,,,"75011",,Rue des Taillandiers,,https://badaboum.paris/,,,,,,,,,,,,,Badaboum,,,,,off,no,,,,,,,,,,,,,
2.3050539,48.8693197,node/3079806020,node/3079806020,,,,,,,Zig Zag Club,nightclub,,,,,,,,,,contact@zigzagclub.fr,,,,,+33 6 35 25 03 61,,,,,http://zigzagclub.fr/,,,,,,,,,,,,,Zigzag Club,,,,,,,,,,,,,,no,,no,,,
2.3676094,48.861244,node/3197173507,node/3197173507,Paris,,"101","75011",Rue Amelot,,,nightclub,,,,,,,,,,,,,,,+33 7 45 00 46 10,,,,,https://panicroomparis.com/,,,,,,,,,,,,,Panic Room,,,,,,,,,,,,,,,,,,,
2.3514985,48.8634056,node/3429408400,node/3429408400,,,"10","75003",Rue aux Ours,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,Le Depot,,,,,,,,,,,no,,,,,no,,,
2.3511582,48.8652653,node/3429417881,node/3429417881,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,only,,,,,L'Impact,,,,,,,,,,,no,,,,,no,,,
2.3352463,48.8731229,node/3702659241,node/3702659241,,,,,,,,nightclub,,,,,2023/06/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,Club Haussman,,,,,,,,,,,,,,,,,,,
2.3545532,48.8520094,node/3703077368,node/3703077368,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taken-Club,,,,,,,,,,,,,,,,no,,,
2.3041747,48.872551,node/3804195354,node/3804195354,,,,,,,,nightclub,,,,,,,,,Paris,,,"13",,,+33 1 53 53 86 00,"75008",,Rue de Berri,,http://thepenthouseclubparis.com,,,,,,,,,,,,,The Penthouse club Paris,,,,"22:00-24:00,00:00-05:00",,,,,,,,,,,,,,,
2.3549451,48.8700709,node/3846860861,node/3846860861,,,,,,,,nightclub,,,,,,,,,Paris,,,"8",,,+33 1 42 08 06 75,"75010",,Boulevard de Strasbourg,,https://www.leglobo.fr/,,,,,,,,,,,,,Le Globo,,,,,,,,,,,,,,,,,,,
2.3243426,48.8415527,node/4123949589,node/4123949589,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le New Monocle,,,,,,,,,,,,,,,,,,,
2.3360255,48.8810262,node/4426841270,node/4426841270,,,,,,,,nightclub,,,,,2024/02/13,,,,,,,,,,,,,,,,,,,https://fr-fr.facebook.com/chezmouneofficiel,,,,,,,,,Chez Moune,,,,,,,,,,,,survey,,,,,,,
2.3060855,48.8716775,node/4527150300,node/4527150300,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chez Régine,,,,,,,,,,,,,,,,,Q1071470,,
2.2930735,48.8739318,node/4529297857,node/4529297857,,,"12",,Rue de Presbourg,,,nightclub,,,,,,,,,,,,,,,+33 651958552,,,,,,,,,,,,,,,,,,L'Arc,,,,,,,,,,,,,,,https://www.larc-paris.com/,,Q3205475,,
2.3567491,48.8645151,node/4537714186,node/4537714186,Paris,,"13","75003",Rue au Maire,,,nightclub,,,,,,,,,,,https://www.facebook.com/pages/Le-Tango-La-Bo%C3%AEte-%C3%A0-Frissons/164605016889712,,,,,,,,,,,contact@tangoparis.com,,,,,primary,,,,,,Le Tango,,,,"Fr-Sa 22:30-05:00; Su 18:00-23:00",,,,+33 1 48 87 25 71,,,,,,,https://tangoparis.com/,,Q3227521,,
2.3346195,48.8520409,node/4680082601,node/4680082601,,,"15","75006",Rue Princesse,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castel,,,,,,,,+ 33 1 40 51 52 80,,,,,,,https://castel.paris/,,Q2963161,,
2.3313953,48.8531013,node/4903397461,node/4903397461,,,,,,,,nightclub,,,,,,,,,Paris,,,"1",,,,"75006",,Rue du Sabot,,,,contact@rive-gauche.paris,,,,,,,,,,,Le Rive Gauche,,,,,,,,+33 1 42 22 51 70,,,,official website,,,https://rive-gauche.paris/,,,,
2.3357876,48.8537254,node/5001826042,node/5001826042,Paris,,"3","75006",Passage de la Petite Boucherie,,,nightclub,,,,,,,,,Paris 6eme Arrondissement,,,"3",,,+33 1 46 33 19 89,"75006",,Passage De La Petite Boucherie,,,Bar musical Latino.,,,,,,,,,,,,La Peña,,,,,,,,,,,,,,,,,,,
2.3114655,48.8724362,node/5239868124,node/5239868124,,,,,,,,nightclub,,,,,,,,,Paris,,,"105",,,+33 1 42 89 41 66,"75008",,Rue du Faubourg Saint-Honoré,,http://angie-paris.com,,,,,,,,,,,,,Angie,,,,Fr-Sa 00:00-05:00,,,,,,,,,,,,,,,
2.3473378,48.8705803,node/5552694364,node/5552694364,,,,,,,,nightclub,,,,,,,,,Paris,infos@rexclub.com,https://www.facebook.com/rexclubparis/events,"5",rexclub,,+33 142 361 096,"75002",https://ra.co/clubs/1672,Boulevard Poissonnière,,https://rexclub.com,,,,,,,,,yes,,,,Rex Club,,,,We-Sa 23:55-07:00,,,,,,,,,,,,,,,
2.292437,48.8736705,node/5690175583,node/5690175583,,,,,,,,nightclub,,,,,,,,,Paris,,,2bis,,,+33 1 45 00 45 00,"75116",,Avenue Foch,,http://www.leduplex.com,,,,,,,,,,,,,Le Duplex,,,,Mo-Su 23:30-06:00,,,,,,,,,,,,,,,
2.3361176,48.8327374,node/6297628586,node/6297628586,,,,,,,,nightclub,,,,,,,,,Paris,,,3 bis,,,,"75014",,Rue de la Tombe Issoire,,,,,,,,,,,,,,,Pré Milonga de la Passerelle,,,,Su 13:00-17:00,,,,,,,,,,,,,,,
2.3699765,48.8409186,node/6433614490,node/6433614490,Paris,,"33",,Quai d'Austerlitz,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Debonair Café,,,,,,,,,,,,,,,,,,,
2.3002879,48.8715296,node/7772943863,node/7772943863,,,,,,,,nightclub,,,,,,,,,Paris,,,"58",,,,"75008",,Rue de Bassano,,,,,,,,,,,,,,,Raspoutine,,,,,,,,,,,,,,,,,,,
2.3740128,48.8257265,node/7953966751,node/7953966751,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Saphir,,,,,,,,,,,,,,,,,,,
2.3428343,48.8614498,node/8459561473,node/8459561473,,,,,,,,nightclub,,,,,,,,,Paris,,,"84",,,+33 1 42 61 03 79,"75001",,Rue Saint-Honoré,,,,,,,,,,,,"18",,,La Marquise,,,,,,,,,,,no,,,,,no,,,
2.3221869,48.8861456,node/8494571694,node/8494571694,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhum Club,,,,,,,,,,,,,,,,no,,,
2.3229755,48.8846063,node/8662528316,node/8662528316,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,Cris et Chuchotements,,,,,,,,,,,,,,,,,,,
2.3760623,48.8669668,node/8751245019,node/8751245019,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1999",,,,,,,,,,,,,,,,,,,
2.3765802,48.8355557,node/9176582743,node/9176582743,Paris,,"7","75013",Port de la Gare,,,nightclub,,,,,,,,,,,,,petitbain,https://mastodon.social/@petitbain_paris,,,,,,https://petitbain.org/,Salle de concerts,,,,,,,,yes,,,,Petit Bain,,,,,,,,,,,,,,,,,,,
2.3697329,48.8834387,node/9177049218,node/9177049218,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini-club,,,,,,,,,,,,,2021/10/16,,https://larotondestalingrad.com/,,,,
2.3709046,48.8548485,node/9556250419,node/9556250419,,,,,,,,nightclub,,,,,,2023/03/26,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Club,,,,,,no,,,,,,,,,,,,,
2.3367102,48.8536558,node/9778082484,node/9778082484,Paris,,"25","75006",Rue de Buci,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Club Paradisio,,,,We-Sa 23:30-05:00,,,Beaumarly,,,,,,,,https://club-paradisio.com,,,,
2.3564458,48.8564548,node/9797551085,node/9797551085,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,Jazz Club & Bar,,,,,,,,yes,,jazz,,38Riv,,,,,,,,,,,no,,,,https://www.38riv.com/,limited,,,
2.3705397,48.8389119,node/9861508352,node/9861508352,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Suite 34,,,,Th-Su 19:00-02:00,,,,,,,,,,,https://lasuite34paris.fr,,,,
2.3252454,48.8407632,node/9862863074,node/9862863074,,,,,,,,nightclub,,,,,2024/11/03,,,,,,,,,,,,,,,,Club libertin,,,,,,,,,"18",,,2+2,,,,"12:00-19:00,20:00-06:00",,,,,,,,,,,https://www.2plus2.fr,,,,
2.3356292,48.8809322,node/9942465422,node/9942465422,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigalle Country Club,,,,"Su-We 18:00-03:00; Th-Sa 18:00-05:00",,,,,,,,,,,,limited,,,
2.3379538,48.8545508,node/9999404894,node/9999404894,Paris,,"62","75006",Rue Mazarine,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pamela,,,,Fr-Sa 20:00-06:00,,,,,,,,,,,,,,,
2.3479012,48.8471623,node/10048944671,node/10048944671,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Pomme d'Ève,,,,"Mo 12:00-02:00, We-Fr 20:00-02:00, Sa 16:00-02:00, Su 22:00-02:00",,,,,,,,,,,https://lapommedeve.com,,,,
2.334615,48.8646531,node/10178083072,node/10178083072,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jangal,,,,Th-Sa 23:45-06:00,,,,,,,,,,,https://jangalparis.com/,,,,
2.3435402,48.8612065,node/10203138718,node/10203138718,,,,,,,,nightclub,,,,,,,,,Paris,,,"87",,,,"75001",,Rue Saint-Honoré,,,,,,,,,primary,,,,,,Merry,,,,,,,,,,,no,,,,,no,,,
2.3910176,48.8903541,node/10241134127,node/10241134127,Paris,,"211","75019",Avenue Jean Jaurès,,,nightclub,,,,,,,,,,,,,,,+33 9 82 25 91 81,,,,,https://www.lapetitehalle.com/programmation/,Club de jazz,,,,,,,,,,,,La Petite Halle,,,,,,,,,,,no,,,,,limited,,,
2.3366271,48.8667393,node/10720791065,node/10720791065,Paris,,"33","75001",Rue des Petits Champs,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,L'Œil,,,,,,,,+33 1 42 61 99 22,,,,,,,,,,,
2.322105,48.9005296,node/11824705117,node/11824705117,Paris,,"26","75017",Rue Hélène et François Missoffe,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virage,,,,,,,,,,,,,,,https://virage17.paris/,,,,
2.2968655,48.8641744,node/11831374220,node/11831374220,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YOYO,,,,,,,,,,,,,,,,,,,
2.3451288,48.8506575,node/12095637589,node/12095637589,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roméo,,,,,,,,,,,,,,,,,,,
2.3434141,48.8688835,node/12211906079,node/12211906079,Paris,,"142","75002",Rue Montmartre,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silencio Club,,,,,,,,,,,,,,,,,,,
2.3620619,48.8822517,node/12312129878,node/12312129878,Paris,,"14","75010",Rue Philippe de Girard,,,nightclub,,,,,,,,,,,,,essaimparis,,,,,,,,,,,,,,,,,,,,Essaim,,,,,,,,,,,,,,,https://fr.ra.co/clubs/248763,,,,
